date,schedule,hrs,etips,cash,deliveries,km,earnings,net,nethrs,tipdel,kmdel,delhrs,day,strhr,more
2021-02-11,17.30-21.33,4,5.0,14.5,10,29.6,45.12,60.76,15.19,1.95,2.96,2.5,Thursday,17.5,1.2799999999999994
2021-02-12,17.30-21.34,4,0.0,4.0,9,28.2,45.29,45.77,11.44,0.44,3.13,2.25,Friday,17.5,1.3224999999999998
2021-02-14,18.00-22.00,4,2.0,12.8,11,31.1,50.6,61.76,15.44,1.35,2.83,2.75,Sunday,18.0,2.6500000000000004
2021-02-15,17.30-21.30,4,3.0,7.8,11,28.1,45.47,53.62,13.41,0.98,2.55,2.75,Monday,17.5,1.3674999999999997
2021-02-16,17.30-21.30,4,0.0,8.5,12,24.5,46.89,53.93,13.48,0.71,2.04,3.0,Tuesday,17.5,1.7225000000000001
2021-02-17,17.30-21.30,4,2.0,2.6,10,28.4,44.48,46.09,11.52,0.46,2.84,2.5,Wednesday,17.5,1.1199999999999992
2021-02-18,17.30-21.30,4,2.0,3.6,6,31.4,40.25,40.62,10.16,0.93,5.23,1.5,Thursday,17.5,0.0625
2021-02-19,17.30-21.30,4,2.0,11.1,9,30.0,42.52,52.29,13.07,1.46,3.33,2.25,Friday,17.5,0.6300000000000008
2021-02-21,17.30-21.30,4,1.0,4.5,8,35.0,40.0,42.2,10.55,0.69,4.38,2.0,Sunday,17.5,0.0
2021-02-22,17.00-21.00,4,2.0,4.0,9,31.0,41.33,44.28,11.07,0.67,3.44,2.25,Monday,17.0,0.3324999999999996
2021-02-23,18.00-22.00,4,2.0,5.0,7,33.7,40.0,42.65,10.66,1.0,4.81,1.75,Tuesday,18.0,0.0
2021-02-24,17.00-21.00,4,4.0,2.0,7,26.4,40.0,41.17,10.29,0.86,3.77,1.75,Wednesday,17.0,0.0
2021-02-25,18.00-22.00,4,3.5,5.6,9,26.1,40.0,46.01,11.5,1.01,2.9,2.25,Thursday,18.0,0.0
